in	iin
peculiar	pecular 
perceive	percieve 
persuade	persaude 
physical	fysical
pleasant	pleasnat 
possible	posible 
potatoes	potatos 
probably	probablly 
received	recepted 
referred	refered 
relevant	relavent 
remember	rember 
roommate	roomate 
sandwich	sandwhich 
schedule	schedual 
separate	seperate 
sergeant	sargant 
souvenir	souvenier 
specimen	speciemen 
strategy	startegy 
strength	strenght 
studying	studing 
suppress	supress 
surprise	supprise 
surround	suround 
swimming	swiming 
tendency	tendancy 
together	togather 
tomorrow	tommorow 
vigilant	vigilent 
violence	violance 
wherever	whereever 
abundance	abudance
accordion	accordeon
aggravate	agravate
alignment	allignment
all right	allright
apartment	appartmant
assistant	assitant
auxiliary	auxillary
basically	basicaly
beautiful	beatiful
beginning	beggining
brilliant	briliant
candidate	candadate
challenge	challange
committee	comittee
competent	competant
consensus	concensus
corollary	correlary
criticism	critiscism
criticize	critiscize critise
desirable	desireable
desperate	desparate
developed	developped
different	diferent
disappear	disapear
embarrass	embarass
equipment	equippment
existence	existance
extremely	extremley
genealogy	geneology
generally	generaly
guarantee	garantee
Halloween	Hallowean
hindrance	hinderence
hypocrisy	hypocracy
hypocrite	hypocrit
imaginary	imagenary
immediate	imediate
immigrant	inmigrant imigrant
implement	impliment
insistent	insistant
interpret	interpet
interrupt	interupt
introduce	inctroduce introduct
knowledge	knowldge
literally	literaly
magically	magicaly 
miniature	minature 
naturally	natuarlly 
necessary	neccesary 
obedience	obediance 
permanent	permanant 
personnel	personell  personel 
pollution	polution 
possesses	posesses 
preceding	preceeding  proceding 
preferred	prefered 
prejudice	predjudice 
prevalent	prevelant 
primitive	primative 
principal	pricipal 
principle	priciple 
privilege	priveledge 
procedure	procedger 
professor	profesor 
prominent	prominant 
recommend	reccomend 
reference	referance 
religious	religeous 
reservoir	reservor 
sacrifice	sacrafice 
satellite	satalite 
secretary	secratary 
sincerely	sincerley 
soliloquy	soliliquy 
sophomore	sophmore 
strenuous	strenous 
supersede	supercede 
technical	techical 
therefore	therfore 
unanimous	unaminous 
vengeance	vengance 
absorption	absorbsion
accessible	accessable
accomplish	acomplish
aggressive	aggresive
appearance	apearance
attendance	attendence
bankruptcy	backruptcy
believable	believeable
camouflage	camoflage
changeable	changable
collateral	colateral
commitment	committment
competitor	competor
completely	completly
conscience	concience
consistent	consistant
continuous	continious
controlled	contolled
convenient	conveinent
definitely	definately
difference	diference
disappoint	disapoint
disastrous	disasterous
equivalent	equilavent
especially	expecially
exaggerate	exagerate
excellence	excellance
exhilarate	exhilirate
experience	experiance
experiment	experement
exuberance	exhuberance
government	goverment
harassment	harasment
hemorrhage	hemmorhage
incredible	increadible
irrelevant	irelevent
legitimate	legimate
lieutenant	leutenant
likelihood	likelyhood
loneliness	lonelyness
manageable	managable 
mysterious	misterious 
noticeable	noticable 
occurrence	occurance 
parliament	paliament 
particular	parituclar 
persistent	persistant 
propaganda	propoganda 
psychology	psycology 
repetition	repetion 
resistance	resistence 
restaurant	restarant  restraunt 
ridiculous	rediculous 
statistics	stastics 
succession	succesion 
sufficient	suffcient 
supposedly	suposedly 
synonymous	synonomous 
tournament	tornament 
accommodate	accomadate
achievement	acheivement
appropriate	appropiate
bureaucracy	beaurocracy
comparative	comparitive
convertible	convertable
description	discription
development	developement
discrepancy	discrepency
environment	enivoriment
explanation	explaination
financially	financialy
immediately	emmediately
independent	indepedent
interesting	intersting
maintenance	maintainance 
mathematics	mathamatics 
mischievous	mischeivous 
opportunity	opertunity 
performance	peformance 
preparation	prepartion 
remembrance	rememberance 
resemblance	resemblence 
spontaneous	spontanious  sponteous 
susceptible	subceptible 
symmetrical	symetrical 
temperature	temperture 
transferred	transfered 
unnecessary	unecessary 
accidentally	accidentaly
acquaintance	acquaintence
advantageous	advantagous
dissatisfied	disatisfied
embarrassing	embarassing
handkerchief	hankerchief
incidentally	incidently
intelligence	inteligence
intermediary	intermidiary
irresistible	iresistable
occasionally	ocasionally 
particularly	particularily 
perseverance	perserverance 
specifically	specificaly 
stubbornness	stubborness 
consciousness	conciousness
disappearance	disappearence
extraordinary	extrordinary
fundamentally	fundamentaly
indispensable	indispensible
pronunciation	pronounciation 
questionnaire	questionaire
characteristic	characterstic
correspondence	correspondance
representative	represenative 
superintendent	superintendant 
congratulations	congradulations
